Name,Brand,SKU,MPN,base_price,MSRP,Image
"Blue Air BACB86M-HC 86.25"" W x 31"" D x 25.5"" H All Stainless Steel Side-Mounted Refrigerated Chef Base Equipment Stand",Blue Air,BACB86M-HC,BACB86M-HC,6148.87,,
"Traulsen TE048LT 48""W Four Drawer Spec-Line Freezer Equipment Stand",Traulsen,TE048LT,TE048LT,10595.48,,
"Southbend 30036RSB 36""W Two Drawer Freezer Base",Southbend,30036RSB,30036RSB,11360.25,,
"Garland UN17R96 96""W Four Drawer Polar Cuisine Refrigerated Base",Garland,UN17R96,UN17R96,20042.00,,
"Beverage Air WTRCS48HC 48""W Two Drawer Worktop Cook Stand Refrigerator",Beverage Air,WTRCS48HC,WTRCS48HC,6493.46,,
"Delfield F2952CP 52-1/4""W One-Section Two Drawers Refrigerated Low-Profile Equipment Stand",Delfield,F2952CP,F2952CP,10847.00,,
"Vulcan ARS84 84"" W Stainless Steel Self-Contained Achiever Refrigerated Base - 115 Volts",Vulcan,ARS84,ARS84,19151.00,,
"Traulsen TE036HT 36""W Two Drawer Spec-Line Refrigerated Equipment Stand",Traulsen,TE036HT,TE036HT,9231.26,,
"Montague FB-96-R 96""W Six Drawer Legend Heavy Duty Extreme Cuisine Freezer Equipment Base/Stand",Montague,FB-96-R,FB-96-R,18344.50,,
Migali C-CB36-HC 4.7 Cu. Ft. Stainless Steel 2 Drawers Competitor Series Refrigerated Equipment Stand or Chef Base - 115 Volts,Migali,C-CB36-HC,C-CB36-HC,2123.00,,
"Traulsen TE110HT 110""W Six Drawer Spec-Line Refrigerated Equipment Stand",Traulsen,TE110HT,TE110HT,18004.64,,
"Jade JRLH-04S-T-72 25"" H Stainless Steel Titan Fire an Ice Refrigerated Base",Jade,JRLH-04S-T-72,JRLH-04S-T-72,16601.20,,
"Garland GN17R53 53""W Four Drawer Arctic Fire Refrigerator Base",Garland,GN17R53,GN17R53,13541.00,,
"Garland UN171927R72 72""W Four Drawer Polar Cuisine Refrigerated Base",Garland,UN171927R72,UN171927R72,17686.00,,
"Migali C-CB52-60-HC 60-1/2""W One-Section Two Drawer Competitor Series Refrigerated Equipment Stand/Chef Base",Migali,C-CB52-60-HC,C-CB52-60-HC,2728.00,,
"Everest Refrigeration ECB96D4 95.5""W Four Drawer Chef Base Refrigerator",Everest Refrigeration,ECB96D4,ECB96D4,7081.00,,
"Everest Refrigeration ECB82-86D4 86.25""W Four Drawer Chef Base Refrigerator",Everest Refrigeration,ECB82-86D4,ECB82-86D4,6398.00,,
"Beverage Air WTFCS52HC Worktop Cook Stand Freezer one-Section 52""",Beverage Air,WTFCS52HC,WTFCS52HC,8120.19,,
"Jade JRLH-02R-T-36 36"" W Stainless Steel 2 Drawers Titan Fire & Ice Refrigerated Base",Jade,JRLH-02R-T-36,JRLH-02R-T-36,10965.00,,
"Beverage Air WTRCS36HC-48 48""W Two Drawer Worktop Cook Stand Refrigerator",Beverage Air,WTRCS36-1-48,WTRCS36HC-48,6493.46,,
"Continental Refrigerator D84GFN 84""W Four Drawer Freezer Griddle Stand",Continental Refrigerator,DL84GF,D84GFN,12011.00,,
Kelvinator KCHCB60R 2 Drawers Stainless Steel Refrigerated Chef Base,Kelvinator,KCHCB60R,KCHCB60R,3503.70,,
"Garland UN17C60 60""W Two Drawer Polar Cuisine Refrigerated Base",Garland,UN17C60,UN17C60,17329.00,,
"Montague FB-72-R 72""W Four Drawer Legend Heavy Duty Extreme Cuisine Freezer Equipment Base/Stand",Montague,FB-72-R,FB-72-R,15210.69,,
"Hoshizaki CR85A 85""W Four Drawer Steelheart Series Refrigerated Equipment Stand",Hoshizaki,CR85A,CR85A,11095.66,,
"Vulcan ARS72 72"" W Stainless Steel Self-Contained Achiever Refrigerated Base - 115 Volts",Vulcan,ARS72,ARS72,17832.00,,
"Hoshizaki CR98A 98""W Four Drawer Steelheart Series Refrigerated Low-Profile Equipment Stand",Hoshizaki,CR98A,CR98A,12351.77,,
"True TRCB-96 95.5""W Four Drawer Refrigerated Chef Base",,TRCB-96,TRCB-96-HC,8407.81,,
Randell LPRES1L1-53C4 53” W One-Section Stainless Steel Refrigerated Counter or Equipment Stand – 115 Volts,Randell,LPRES1L1-53C4,LPRES1L1-53C4,11349.00,,
"True TRCB-79 79.25""W Four Drawer Refrigerated Chef Base",,TRCB-79,TRCB-79-HC,7363.10,,
"Jade JRLH-02S-T-48 25"" H Stainless Steel Titan Fire an Ice Refrigerated Base",Jade,JRLH-02S-T-48,JRLH-02S-T-48,13199.00,,
Turbo Air PRCBE-60F-N-FT 9.77 Cu. Ft. Stainless Steel One-Section PRO Series Freezer Chef Base - 115 Volts,Turbo Air,PRCBE-60F-N-FT,PRCBE-60F-N-FT,7710.53,,
"True TRCB-72 72.38""W Four Drawer Refrigerated Chef Base",,TRCB-72,TRCB-72-HC,7050.63,,
"True TRCB-110 110""W Six Drawer Refrigerated Chef Base",,TRCB-110,TRCB-110-HC,9598.48,,
"Asber ACBR-52-60 60.25"" W Two Drawer Chef Base Refrigerated Equipment Stand",Asber,ACBR-52-60,ACBR-52-60,2816.55,,
"Montague RB-60-R 60""W Two Drawer Legend Heavy Duty Extreme Cuisine Refrigerated Equipment Base/Stand",Montague,RB-60-R,RB-60-R,13149.19,,
"Southbend 20032RSB 32""W Two Drawer Refrigerator Base",Southbend,20032RSB,20032RSB,10442.25,,
"Turbo Air TCBE-96SDR-N 96.38""W Four Drawer Super Deluxe Chef Base Refrigerator",Turbo Air,TCBE-96SDR-N,TCBE-96SDR-N,8021.66,,
"Beverage Air WTFCS96HC Worktop Cook Stand Freezer two-Section 96""",Beverage Air,WTFCS96HC,WTFCS96HC,11394.02,,
"Montague RB-60-SC 60""W Two Drawer Legend Heavy Duty Extreme Cuisine Refrigerated Equipment Base/Stand",Montague,RB-60-SC,RB-60-SC,15186.94,,
Turbo Air TCBE-72SDR-E-N 12.66 Cu. Ft. Stainless Steel Super Deluxe Extended Top Chef Base Refrigerator - 115 Volts,Turbo Air,TCBE-72SDR-E-N,TCBE-72SDR-E-N,6991.17,,
"Koolmore KM-BR-362D 36.4"" W Stainless Steel Commercial Chef Base Refrigerator Storage Cabinet",,KM-BR-362D,KM-BR-362D,,,
Randell LPRES1L1-48C4 48” W One-Section Stainless Steel Refrigerated Counter or Equipment Stand – 115 Volts,Randell,LPRES1L1-48C4,LPRES1L1-48C4,10918.00,,
"True TRCB-82-84 54"" W 4 Drawers Refrigerated Chef Base",,TRCB-82-84,TRCB-82-84-HC,7948.46,,
"Randell RES1L1-48C4 48"" W Stainless Steel Exterior One Section Refrigerated Counter and Equipment Stand - 115 Volts",Randell,RES1L1-48C4,RES1L1-48C4,11325.50,,
"Dukers DCB52-D2 52 1/2""W 2 Drawer Refrigerated Chef Base",Dukers,DCB52-D2,DCB52-D2,2289.00,,
"Southbend 30072SB 72""W Four Drawer Freezer Base",Southbend,30072SB,30072SB,16524.00,,
"Montague RB-108-R 108""W Six Drawer Legend Heavy Duty Extreme Cuisine Refrigerated Equipment Base/Stand",Montague,RB-108-R,RB-108-R,17286.44,,
"Victory CBF84HC 84"" W 4 Drawers Chef Base Freezer - 115 Volts",Victory,CBF84HC,CBF84HC,13068.06,,
Turbo Air TCBE-52SDR-E-N 9.1 Cu. Ft. Stainless Steel 2 Drawers Super Deluxe Extended Top Chef Base Refrigerator - 115 Volts,Turbo Air,TCBE-52SDR-E-N,TCBE-52SDR-E-N,5689.90,,
