Name,Brand,SKU,MPN,base_price,MSRP,Image
"American Panel AP24BC250-3-R-RHH 54.38"" W Roll-In HURRiCHiLL Blast Chiller - 208 Volts",American Panel,AP24BC250-3-R-RHH,AP24BC250-3-R-RHH,45705.92,,
"Electrolux 727731 35.31""W SkyLine ChillS 61 Blast Chiller/Freezer",Electrolux,727731,727731,16761.25,,
"American Panel AP20BC-1T 51"" W Roll-In HURRiCHiLL Modular Blast Chiller - 208 Volts",American Panel,AP20BC-1T,AP20BC-1T,35897.33,,
"American Panel AP24BCF300-3-R-RHH 54.38"" W Roll-In HURRiCHiLL Blast Chiller/Shock Freezer - 208 Volts",American Panel,AP24BCF300-3-R-RHH,AP24BCF300-3-R-RHH,45705.92,,
"Traulsen TBC13-31 41""W Reach-In Spec-Line Blast Chiller with EPICON Control",Traulsen,TBC13-31,TBC13-31,55312.79,,
"Electrolux 727758 55.13""W Roll-In (EBFA22RQ) SkyLine ChillS 202 Blast Chiller/Freezer",Electrolux,727758,727758,51572.40,,
"American Panel AP26BCF-3T 53"" W Roll-In HURRiCHiLL Modular Blast Chiller/Shock Freezer - 208 Volts",American Panel,AP26BCF-3T,AP26BCF-3T,87297.43,,
"American Panel AP46BC-1T 64"" W Roll-In HURRiCHiLL Modular Blast Chiller - 208 Volts",American Panel,AP46BC-1T,AP46BC-1T,38559.61,,
"Piper Products RCR122S 43.31""W Reach-In Blast Chiller",Piper Products,RCR122S,RCR122S,30060.25,,
"Piper Products RCR051S 31.1""W Reach-In Blast Chiller",Piper Products,RCR051S,RCR051S,9586.94,,
"Traulsen TBC13-COR01-LP 41""W Reach-In Spec-Line Reach-In Blast Chiller with EPICON Control",Traulsen,TBC13-COR01-LP,TBC13-COR01-LP,60713.73,,
"Traulsen TBC13-COR01 41""W Reach-In Spec-Line Reach-In Blast Chiller with EPICON Control",Traulsen,TBC13-COR01,TBC13-COR01,59091.12,,
"Omcan USA 46673 44"" W Self-Contained Refrigeration Stainless Steel Reach-In Blast Chiller - 220 Volts",Omcan USA,46673,46673,9922.87,,
"Traulsen TBC5-52-LP 54""W Spec-Line Undercounter Blast Chiller with EPICON Control",Traulsen,TBC5-52-LP,TBC5-52-LP,34910.87,,
"Piper Products RDMC83T 59.06""W Roll-Thru Shock Freezer/Blast Chiller",Piper Products,RDMC83T,RDMC83T,105693.25,,
"Traulsen TBC5-58 54""W Spec-Line Undercounter Blast Chiller with EPICON Control",Traulsen,TBC5-58,TBC5-58,34551.99,,
"Traulsen TBC1HR-COR02-LP 48.5""W Roll-Thru Spec-Line Roll-thru Blast Chiller with EPICON Control",Traulsen,TBC1HR-COR02-LP,TBC1HR-COR02-LP,94815.77,,
"Traulsen TBC13-28 41""W Reach-In Spec-Line Blast Chiller with EPICON Control",Traulsen,TBC13-28,TBC13-28,55935.50,,
"American Panel AP24BCF300-3-R 54.38"" W Roll-In HURRiCHiLL Blast Chiller/Shock Freezer - 208 Volts",American Panel,AP24BCF300-3-R,AP24BCF300-3-R,41181.57,,
"Traulsen TBC2HR-2 48.5""W Roll-Thru Spec-Line Roll-thru Blast Chiller with EPICON Control",Traulsen,TBC2HR-2,TBC2HR-2,174387.02,,
"American Panel AP5BCF45-2-P 29.5""W 50 Lbs. Solid State Electronic Control Panel Manual Defrost Stainless Steel HURRiCHiLL Blast Chiller or Shock Freezer - 208 Volts",American Panel,AP5BCF45-2-P,AP5BCF45-2-P,11037.50,,
"American Panel AP20BCF200-3 47.25"" W Roll-In HURRiCHiLL Blast Chiller/Shock Freezer - 2.5 HP",American Panel,AP20BCF200-3,AP20BCF200-3,41377.79,,
"Traulsen TBC13-54 41""W Reach-In Spec-Line Reach-in Blast Chiller with EPICON Control",Traulsen,TBC13-54,TBC13-54,57013.11,,
"Piper Products RCMC02T 47.24""W Shock Freezer/Blast Chiller",Piper Products,RCMC02T,RCMC02T,31058.48,,
"American Panel AP36BCF-2T 58"" W Roll-In HURRiCHiLL Modular Blast Chiller/Shock Freezer - 208 Volts",American Panel,AP36BCF-2T,AP36BCF-2T,63775.70,,
"Traulsen TBC13-51 41""W Reach-In Spec-Line Reach-in Blast Chiller with EPICON Control",Traulsen,TBC13-51,TBC13-51,56298.33,,
"Traulsen CLBC7-L 34.75"" W Stainless Steel Reach-In Centerline By Traulsen Blast Chiller - 208-230 Volts",Traulsen,CLBC7-L,CLBC7-L,14277.00,,
"Piper Products RDRC83T 59.06""W Roll-Thru Blast Chiller",Piper Products,RDRC83T,RDRC83T,104244.00,,
"Omcan USA 46671 25.6"" W Self-Contained Refrigeration Stainless Steel Reach-In Blast Chiller - 220 Volts",Omcan USA,46671,46671,6673.64,,
"Traulsen TBC1H-34-LP 48.5""W Roll-In Spec-Line Roll-In Blast Chiller with EPICON Control",Traulsen,TBC1H-34-LP,TBC1H-34-LP,85300.38,,
"Traulsen TBC13-31-LP 41""W Reach-In Spec-Line Reach-in Blast Chiller with EPICON Control",Traulsen,TBC13-31-LP,TBC13-31-LP,56933.91,,
Multiplex TS905046G-263 200 Lbs. Multiplex 50G Icecore Remote Chiller - 230 Volts,Multiplex,TS905046G-263,TS905046G-263,13404.60,,
Multiplex TS905051G-263 200 Lbs. Multiplex 50G Icecore Remote Chiller - 208/230 Volts,Multiplex,TS905051G-263,TS905051G-263,12039.00,,
"U-Line UCBF559-SS12A 59.06"" W Stainless Steel Reach-In U-Line Commercial Blast Chiller and Freezer - 230 Volts",U-Line,UCBF559-SS12A,UCBF559-SS12A,41257.93,,
"Electrolux 727744 40.94""W Roll-In (EBFA21RQ) SkyLine ChillS 201 Blast Chiller/Freezer",Electrolux,727744,727744,45125.85,,
"American Panel AP7BCF70-2-C 59"" W HURRiCHiLL Blast Chiller/Shock Freezer - 1.5 HP",American Panel,AP7BCF70-2-C,AP7BCF70-2-C,22198.05,,
"American Panel AP20BC200-2 47.25"" W Roll-In HURRiCHiLL Blast Chiller - 208 Volts",American Panel,AP20BC200-2,AP20BC200-2,35036.20,,
"American Panel AP36BC-3T 60"" W Roll-In HURRiCHiLL Modular Blast Chiller - 208 Volts",American Panel,AP36BC-3T,AP36BC-3T,89019.68,,
"Traulsen TBC2H-8 48.5""W Roll-In Spec-Line Roll-In Blast Chiller with EPICON Control",Traulsen,TBC2H-8,TBC2H-8,163761.34,,
Multiplex TS905050G-263 200 Lbs. Air-Cooled Multiplex 50G Icecore Remote Chiller - 208/230 Volts,Multiplex,TS905050G-263,TS905050G-263,11688.00,,
"American Panel AP20BCF200-3-XL 60"" W Stainless Steel Roll-In Self-Contained HURRiCHiLL Modular Blast Chiller - 208 Volts",American Panel,AP20BCF200-3-XL,AP20BCF200-3-XL,51492.50,,
"Traulsen TBC13-51-LP 41""W Reach-In Spec-Line Reach-in Blast Chiller with EPICON Control",Traulsen,TBC13-51-LP,TBC13-51-LP,57922.92,,
"Piper Products RDMC42T 59.06""W Roll-Thru Shock Freezer/Blast Chiller",Piper Products,RDMC42T,RDMC42T,47450.73,,
"American Panel AP12BCF110-3 32.25"" W Reach-In Blast Chiller / Shock Freezer - 3 HP",American Panel,AP12BCF110-3,AP12BCF110-3,28812.10,,
"Traulsen TBC1H-24 48.5""W Roll-In Spec-Line Blast Chiller",Traulsen,TBC1H-24,TBC1H-24,80882.51,,
"Traulsen TBC1HR-COR01 48.5""W Roll-Thru Spec-Line Roll-thru Blast Chiller with EPICON Control",Traulsen,TBC1HR-COR01,TBC1HR-COR01,93194.64,,
"American Panel AP46BCF-1T 62"" W Roll-In HURRiCHiLL Modular Blast Chiller/Shock Freezer - 208 Volts",American Panel,AP46BCF-1T,AP46BCF-1T,38559.61,,
"Piper Products RCMC42T 59.06""W Roll-Thru Shock Freezer/Blast Chiller",Piper Products,RCMC42T,RCMC42T,49178.35,,
"Randell BC-003UC 27""W Undercounter Blast Chiller",Randell,BC-003UC,BC-003UC,10599.50,,
"Traulsen CLBC4-WT-L 32"" W Stainless Steel Undercounter Centerline By Traulsen Blast Chiller - 115 Volts",Traulsen,CLBC4-WT-L,CLBC4-WT-L,13023.00,,
"Victory HI5-12-200U 43.3""W Reach-In Blast Chiller",Victory,HI5-12-200U,HI5-12-200U,61940.97,,
"Piper Products RCRC02T 47.2""W Blast Chiller",Piper Products,RCRC02T,RCRC02T,30060.25,,
"Piper Products RCRC82T 62.99""W Roll-Thru Blast Chiller",Piper Products,RCRC82T,RCRC82T,78652.63,,
"Traulsen TBC5-58-LP 54""W Spec-Line Undercounter Blast Chiller with EPICON Control",Traulsen,TBC5-58-LP,TBC5-58-LP,36174.11,,
"American Panel AP46BC-2T 64"" W Roll-In HURRiCHiLL Modular Blast Chiller - 208 Volts",American Panel,AP46BC-2T,AP46BC-2T,65543.06,,
"Traulsen TBC5-62-LP 54""W Spec-Line Undercounter Blast Chiller with EPICON Control",Traulsen,TBC5-62-LP,TBC5-62-LP,35532.09,,
"American Panel AP24BC250-3-RHH 54.38"" W Roll-In HURRiCHiLL Blast Chiller - 208 Volts",American Panel,AP24BC250-3-RHH,AP24BC250-3-RHH,44566.08,,
"Beverage Air RBS-054-SA-HC 33.46"" W Stainless Steel Reach-In Blast Chiller or Freezer - 208-240 Volts",Beverage Air,RBS-054-SA-HC,RBS-054-SA-HC,16472.30,,
"Piper Products RDRC42T 59.06""W Roll-Thru Blast Chiller",Piper Products,RDRC42T,RDRC42T,45016.54,,
"Piper Products RCRC83T 59.06""W Roll-Thru Blast Chiller",Piper Products,RCRC83T,RCRC83T,109855.06,,
"Electrolux 727759 55.13""W Roll-Thru (EBFA22RPQ) SkyLine ChillS 202 Blast Chiller/Freezer",Electrolux,727759,727759,54150.80,,
"Traulsen TBC1H-24-LP 48.5""W Roll-In Spec-Line Roll-In Blast Chiller with EPICON Control",Traulsen,TBC1H-24-LP,TBC1H-24-LP,82504.13,,
"Traulsen TBC1HR-COR01-LP 48.5""W Roll-Thru Spec-Line Roll-thru Blast Chiller with EPICON Control",Traulsen,TBC1HR-COR01-LP,TBC1HR-COR01-LP,94815.77,,
"Traulsen TBC1H-34 48.5""W Roll-In Spec-Line Roll-In Blast Chiller with EPICON Control",Traulsen,TBC1H-34,TBC1H-34,83678.76,,
"Piper Products ABM031 22""W Reach-In Shock Freezer/Blast Chiller",Piper Products,ABM031,ABM031,7805.66,,
"Traulsen TBC13-32-LP 41""W Reach-In Spec-Line Reach-in Blast Chiller with EPICON Control",Traulsen,TBC13-32-LP,TBC13-32-LP,56933.91,,
"Traulsen TBC13-52 41""W Reach-In Spec-Line Reach-In Blast Chiller with EPICON Control",Traulsen,TBC13-52,TBC13-52,56298.33,,
"Traulsen TBC13-24-LP 41""W Reach-In Spec-Line Blast Chiller with EPICON Control",Traulsen,TBC13-24-LP,TBC13-24-LP,57558.11,,
"Electrolux 727742 49.19""W Reach-In SkyLine ChillS 102 Blast Chiller/Freezer",Electrolux,727742,727742,34811.15,,
"Piper Products RCMC40T 59.06""W Roll-In Shock Freezer/Blast Chiller",Piper Products,RCMC40T,RCMC40T,43568.35,,
"American Panel AP20BCF200-3-RHH 47.25"" W Roll-In HURRiCHiLL Blast Chiller/Shock Freezer - 2.5 HP",American Panel,AP20BCF200-3-RHH,AP20BCF200-3-RHH,42015.20,,
"Traulsen CLBC4-WT-R 32"" W Stainless Steel Undercounter Centerline By Traulsen Blast Chiller - 115 Volts",Traulsen,CLBC4-WT-R,CLBC4-WT-R,13023.00,,
"Traulsen TBC1H-COR01 48.5""W Roll-In Spec-Line Roll-In Blast Chiller with EPICON Control",Traulsen,TBC1H-COR01,TBC1H-COR01,83284.25,,
"Traulsen TBC5-50 54""W Spec-Line Undercounter Blast Chiller with EPICON Control",Traulsen,TBC5-50,TBC5-50,33909.48,,
"American Panel AP10BCF100-2 29.5"" W Reach-In HURRiCHiLL Blast Chiller/Shock Freezer - 1.5 HP",American Panel,AP10BCF100-2,AP10BCF100-2,20230.83,,
"Piper Products RCM122T 43.31""W Reach-In Shock Freezer/Blast Chiller",Piper Products,RCM122T,RCM122T,33929.35,,
"Omcan USA 46674 44"" W Self-Contained Refrigeration Stainless Steel Reach-In Blast Chiller - 220 Volts",Omcan USA,46674,46674,11784.88,,
"American Panel AP24BC250-3 54.38"" W Roll-In HURRiCHiLL Blast Chiller - 208 Volts",American Panel,AP24BC250-3,AP24BC250-3,38949.39,,
"Traulsen TBC5-52 54""W Spec-Line Undercounter Blast Chiller with EPICON Control",Traulsen,TBC5-52,TBC5-52,33289.74,,
"American Panel AP20BC200-2-RHH 47.25"" W Roll-In HURRiCHiLL Blast Chiller - 208 Volts",American Panel,AP20BC200-2-RHH,AP20BC200-2-RHH,35861.09,,
"Piper Products RDMC40T 59.06""W Roll-In Shock Freezer/Blast Chiller",Piper Products,RDMC40T,RDMC40T,41480.54,,
"Traulsen TBC1H-20 48.5""W Roll-In Spec-Line Blast Chiller with EPICON Control",Traulsen,TBC1H-20,TBC1H-20,80882.51,,
"Electrolux 727760 55.13""W Roll-In SkyLine ChillS 202 Blast Chiller/Freezer",Electrolux,727760,727760,48994.00,,
"Traulsen TBC13-28-LP 41""W Reach-In Spec-Line Reach-in Blast Chiller with EPICON Control",Traulsen,TBC13-28-LP,TBC13-28-LP,57558.11,,
"Traulsen TBC2HR-2-LP 48.5""W Roll-Thru Spec-Line Roll-thru Blast Chiller with EPICON Control",Traulsen,TBC2HR-2-LP,TBC2HR-2-LP,176008.14,,
"Traulsen TBC5-54 54""W Spec-Line Undercounter Blast Chiller with EPICON Control",Traulsen,TBC5-54,TBC5-54,34551.99,,
"Traulsen TBC1HR-1-LP 48.5""W Roll-Thru Spec-Line Roll-thru Blast Chiller with EPICON Control",Traulsen,TBC1HR-1-LP,TBC1HR-1-LP,92415.51,,
"U-Line UCBF432-SS11A 31.5"" W Stainless Steel Reach-In U-Line Commercial Blast Chiller and Freezer - 115 Volts",U-Line,UCBF432-SS11A,UCBF432-SS11A,9908.63,,
Multiplex TS904498G-251 140 Lbs. Water-Cooled Multiplex 44G Icecore Remote Chiller - 230 Volts,Multiplex,TS904498G-251,TS904498G-251,10205.40,,
"American Panel AP20BCF-2T 49"" W Roll-In HURRiCHiLL Modular Blast Chiller/Shock Freezer - 208 Volts",American Panel,AP20BCF-2T,AP20BCF-2T,56851.81,,
"Piper Products RCMC82T 62.99""W Roll-Thru Shock Freezer/Blast Chiller",Piper Products,RCMC82T,RCMC82T,79237.00,,
"American Panel AP26BC-3T 55"" W Roll-In HURRiCHiLL Modular Blast Chiller - 208 Volts",American Panel,AP26BC-3T,AP26BC-3T,87297.43,,
"Piper Products RCRC40T 59.06""W Roll-In Blast Chiller",Piper Products,RCRC40T,RCRC40T,41919.35,,
"American Panel AP26BCF-1T 53"" W Roll-In HURRiCHiLL Modular Blast Chiller/Shock Freezer - 208 Volts",American Panel,AP26BCF-1T,AP26BCF-1T,37774.56,,
"Infrico USA IBC-ABT3 1S 28.38""W Blast Chiller & Shock Freezer",Infrico USA,IBC-ABT3 1S,IBC-ABT31S,9275.00,,
"American Panel AP36BCF-1T 58"" W Roll-In HURRiCHiLL Modular Blast Chiller/Shock Freezer - 208 Volts",American Panel,AP36BCF-1T,AP36BCF-1T,38314.48,,
"Traulsen TBC13-32 41""W Reach-In Spec-Line Reach-in Blast Chiller with EPICON Control",Traulsen,TBC13-32,TBC13-32,55312.79,,
"Traulsen TBC13-50 41""W Reach-In Spec-Line Reach-in Blast Chiller with EPICON Control",Traulsen,TBC13-50,TBC13-50,57013.11,,
"American Panel AP26BC-2T 55"" W Roll-In HURRiCHiLL Modular Blast Chiller - 208 Volts",American Panel,AP26BC-2T,AP26BC-2T,62828.45,,
"American Panel AP36BC-1T 60"" W Roll-In HURRiCHiLL Modular Blast Chiller - 208 Volts",American Panel,AP36BC-1T,AP36BC-1T,38314.48,,
"Piper Products RCR161T 31.1""W Reach-In Blast Chiller",Piper Products,RCR161T,RCR161T,24974.06,,
"Omcan USA 46672 36.6"" W Self-Contained Refrigeration Stainless Steel Reach-In Blast Chiller - 220 Volts",Omcan USA,46672,46672,7972.39,,
"Traulsen TBC1HR-3-LP 48.5""W Roll-Thru Spec-Line Roll-thru Blast Chiller with EPICON Control",Traulsen,TBC1HR-3-LP,TBC1HR-3-LP,92415.51,,
"Electrolux 727738 35.25""W Reach-In (EBFA11Q) SkyLine ChillS 101 Blast Chiller/Freezer",Electrolux,727738,727738,27075.40,,
"Piper Products RDM122S 43.31""W Reach-In Shock Freezer/Blast Chiller",Piper Products,RDM122S,RDM122S,27189.38,,
"Traulsen TBC13-54-LP 41""W Reach-In Spec-Line Reach-in Blast Chiller with EPICON Control",Traulsen,TBC13-54-LP,TBC13-54-LP,58634.73,,
"Traulsen TBC13-36-LP 41""W Reach-In Spec-Line Reach-in Blast Chiller with EPICON Control",Traulsen,TBC13-36-LP,TBC13-36-LP,53693.64,,
"Beverage Air CF031AG 22.05"" W Stainless Steel Countertop Blast Chiller or Freezer - 115-120 Volts",Beverage Air,CF031AG,CF031AG,9066.27,,
"Alto-Shaam QC3-20 57"" W Stainless Steel Quickchiller Blast Chiller - 115 Volts",Alto-Shaam,QC3-20,QC3-20,22809.60,,
"American Panel AP20BCF200-2-RHH 47.25"" W Roll-In HURRiCHiLL Blast Chiller/Shock Freezer - 208 Volts",American Panel,AP20BCF200-2-RHH,AP20BCF200-2-RHH,35861.09,,
"Traulsen TBC13-52-LP 41""W Reach-In Spec-Line Reach-In Blast Chiller with EPICON Control",Traulsen,TBC13-52-LP,TBC13-52-LP,57922.92,,
"Alto-Shaam QC3-3 27"" W Stainless Steel Undercounter Quickhiller Blast Chiller - 115 Volts",Alto-Shaam,QC3-3,QC3-3,12484.00,,
"Piper Products RDRC40T 59.06""W Roll-In Blast Chiller",Piper Products,RDRC40T,RDRC40T,39553.69,,
"Traulsen TBC13-24 41""W Reach-In Spec-Line Blast Chiller with EPICON Control",Traulsen,TBC13-24,TBC13-24,55935.50,,
"Traulsen TBC13-38-LP 41""W Reach-In Spec-Line Reach-in Blast Chiller with EPICON Control",Traulsen,TBC13-38-LP,TBC13-38-LP,53693.64,,
"Piper Products RDRC82T 62.99""W Roll-Thru Blast Chiller",Piper Products,RDRC82T,RDRC82T,77070.04,,
"Piper Products RCRC42T 59.06""W Roll-Thru Blast Chiller",Piper Products,RCRC42T,RCRC42T,47596.29,,
"Traulsen CLBC4-R 28"" W Stainless Steel Undercounter Centerline By Traulsen Blast Chiller - 115 Volts",Traulsen,CLBC4-R,CLBC4-R,12710.00,,
"Traulsen TBC1HR-COR02 48.5""W Roll-Thru Spec-Line Roll-thru Blast Chiller with EPICON Control",Traulsen,TBC1HR-COR02,TBC1HR-COR02,93194.64,,
"Traulsen TBC5-54-LP 54""W Spec-Line Undercounter Blast Chiller with EPICON Control",Traulsen,TBC5-54-LP,TBC5-54-LP,36174.11,,
"Traulsen TBC1HR-1 48.5""W Roll-Thru Spec-Line Roll-thru Blast Chiller with EPICON Control",Traulsen,TBC1HR-1,TBC1HR-1,90793.40,,
"American Panel AP26BCF-2T 53"" W Roll-In HURRiCHiLL Modular Blast Chiller/Shock Freezer - 208 Volts",American Panel,AP26BCF-2T,AP26BCF-2T,62828.45,,
"Traulsen TBC2H-7-LP 48.5""W Roll-In Spec-Line Roll-In Blast Chiller with EPICON Control",Traulsen,TBC2H-7-LP,TBC2H-7-LP,165383.95,,
"American Panel AP24BC250-3-R 54.38"" W Roll-In HURRiCHiLL Blast Chiller - 208 Volts",American Panel,AP24BC250-3-R,AP24BC250-3-R,41181.57,,
"American Panel AP24BCF300-3 54.38"" W Roll-In HURRiCHiLL Blast Chiller/Shock Freezer - 208 Volts",American Panel,AP24BCF300-3,AP24BCF300-3,38949.39,,
"Traulsen CLBC4-L 28"" W Stainless Steel Undercounter Centerline By Traulsen Blast Chiller - 115 Volts",Traulsen,CLBC4-L,CLBC4-L,12710.00,,
"American Panel AP20BCF200-2 47.25"" W Roll-In HURRiCHiLL Blast Chiller/Shock Freezer - 208 Volts",American Panel,AP20BCF200-2,AP20BCF200-2,35036.20,,
"American Panel AP24BCF300-3-RHH 54.38"" W Roll-In HURRiCHiLL Blast Chiller/Shock Freezer - 208 Volts",American Panel,AP24BCF300-3-RHH,AP24BCF300-3-RHH,44566.08,,
"American Panel AP46BCF-2T 64"" W Roll-In HURRiCHiLL Modular Blast Chiller/Shock Freezer - 208 Volts",American Panel,AP46BCF-2T,AP46BCF-2T,65543.06,,
"Piper Products ABM023 22""W Reach-In Shock Freezer/Blast Chiller",Piper Products,ABM023,ABM023,7047.56,,
"American Panel AP46BC-3T 64"" W Roll-In HURRiCHiLL Modular Blast Chiller - 208 Volts",American Panel,AP46BC-3T,AP46BC-3T,90744.43,,
"Traulsen CLBC7-R 34.75"" W Stainless Steel Reach-In Centerline By Traulsen Blast Chiller - 208-230 Volts",Traulsen,CLBC7-R,CLBC7-R,14277.00,,
"Randell BC-918RI 40""W Upright Blast Chiller",Randell,BC-918RI,BC-918RI,23915.50,,
"Traulsen TBC1H-20-LP 48.5""W Roll-In Spec-Line Roll-In Blast Chiller with EPICON Control",Traulsen,TBC1H-20-LP,TBC1H-20-LP,82504.13,,
"Traulsen TBC5-51 54""W Spec-Line Undercounter Blast Chiller with EPICON Control",Traulsen,TBC5-51,TBC5-51,33289.74,,
"Traulsen TBC2H-7 48.5""W Roll-In Spec-Line Roll-In Blast Chiller with EPICON Control",Traulsen,TBC2H-7,TBC2H-7,163761.34,,
"Traulsen TBC13-50-LP 41""W Reach-In Spec-Line Reach-in Blast Chiller with EPICON Control",Traulsen,TBC13-50-LP,TBC13-50-LP,58634.73,,
"American Panel AP36BC-2T 60"" W Roll-In HURRiCHiLL Modular Blast Chiller - 208 Volts",American Panel,AP36BC-2T,AP36BC-2T,63775.70,,
"Traulsen TBC1H-COR01-LP 48.5""W Roll-In Spec-Line Roll-In Blast Chiller with EPICON Control",Traulsen,TBC1H-COR01-LP,TBC1H-COR01-LP,84905.87,,
"American Panel AP3BCF30-1-P 25.5"" W 30 Lbs. Solid State Electronic Control Panel Manual Defrost Stainless Steel HURRiCHiLL Blast Chiller or Shock Freezer - 120 Volts",American Panel,AP3BCF30-1-P,AP3BCF30-1-P,7571.25,,
"Traulsen TBC5-50-LP 54""W Spec-Line Undercounter Blast Chiller with EPICON Control",Traulsen,TBC5-50-LP,TBC5-50-LP,35532.09,,
"U-Line UCBF532-SS12A 31.5"" W Stainless Steel Reach-In U-Line Commercial Blast Chiller and Freezer - 230 Volts",U-Line,UCBF532-SS12A,UCBF532-SS12A,16957.03,,
"Traulsen TBC1H-33 48.5""W Roll-In Spec-Line Roll-In Blast Chiller with EPICON Control",Traulsen,TBC1H-33,TBC1H-33,83678.76,,
"American Panel AP20BC-3T 51"" W Roll-In HURRiCHiLL Modular Blast Chiller - 208 Volts",American Panel,AP20BC-3T,AP20BC-3T,76698.95,,
"American Panel AP46BCF-3T 62"" W Roll-In HURRiCHiLL Modular Blast Chiller/Shock Freezer - 208 Volts",American Panel,AP46BCF-3T,AP46BCF-3T,90744.43,,
"Traulsen TU048QC 48""W Quick Chiller",Traulsen,TU048QC,TU048QC,18262.04,,
"Randell BC-510WT 59""W Undercounter Blast Chiller",Randell,BC-510WT,BC-510WT,18589.00,,
"American Panel AP20BCF-3T 49"" W Roll-In HURRiCHiLL Modular Blast Chiller/Shock Freezer - 208 Volts",American Panel,AP20BCF-3T,AP20BCF-3T,76698.95,,
"American Panel AP7BCF70-2 32.25"" W Reach-In HURRiCHiLL Blast Chiller/Shock Freezer - 1.5 HP",American Panel,AP7BCF70-2,AP7BCF70-2,20990.73,,
"Piper Products RCM054S 33.46""W Reach-In Shock Freezer/Blast Chiller",Piper Products,RCM054S,RCM054S,11368.75,,
Spaceman 6250-C 2 Flavors Floor Model Gravity Fed Soft-Serve Machine - 208-230 Volts,Spaceman,6250-C,6250-C,15190.00,,
"Taylor Company C723 ADA 23.31""W Soft Serve Freezer",Taylor Company,C723 ADA,C723ADA,,,
"Taylor Company C606 25.25""W Soft Serve Freezer",Taylor Company,C606,C606,,,
"Admiral Craft LIIC-1H 17.3"" W 1 Flavor Air-Cooled Lunar Ice Ice Cream Machine - 220 Volts",Admiral Craft,LIIC-1H,LIIC-1H,7365.50,,
Pasmo S930TA2 Stainless Steel Countertop Gravity Fed Optional Heat Pasteurization Soft Serve Machine - 220 Volts,,S930TA2,S930TA2,12787.58,,
Spaceman 6235-C 2 Flavors Countertop Gravity Fed Soft-Serve Machine - 208-230 Volts,Spaceman,6235-C,6235-C,14504.00,,
"Taylor Company C713 25.44""W Soft Serve Freezer",Taylor Company,C713,C713,,,
Spaceman 6235A-C 2 Flavors Countertop Pump Feed Model Soft-Serve Machine - 208-230 Volts,Spaceman,6235A-C,6235A-C,15933.00,,
"Taylor Company C709 18.25""W Soft Serve Freezer",Taylor Company,C709,C709,,,
"Taylor Company C708 18.25""W Soft Serve Freezer",Taylor Company,C708,C708,,,
"Taylor Company 772 26.44""W Soft Serve Freezer",Taylor Company,772,772,,,
"Taylor Company 794 20.44""W Soft Serve Freezer",Taylor Company,794,794,,,
"Taylor Company 8756 26.44""W Soft Serve Freezer",Taylor Company,8756,8756,,,
"Taylor Company 736 15.75""W Soft Serve Freezer",Taylor Company,736,736,,,
"Pasmo S970FA2 20.5"" W Stainless Steel Gravity Fed Soft Serve Machine - 3200 Watts",,S970FA2,S970FA2,19054.61,,
"Taylor Company 703T 16.44""W Soft Serve Freezer",Taylor Company,703T,703T,,,
"Taylor Company C043-DISPENSER 34.13""W Continuous Custard Dispenser",Taylor Company,C043-DISPENSER,C043-DISPENSER,,,
Pasmo S110FA4 3.5 L. Countertop Soft Serve Machine - 100 Volts,,S110FA4,S110FA4,6060.99,,
"Taylor Company C002 26.5""W Continuous Batch Freezer",Taylor Company,C002,C002,,,
Spaceman 6236-C 1 Flavor Countertop Gravity Feed Soft-Serve Machine - 208-230 Volts,Spaceman,6236-C,6236-C,10997.00,,
"Waring WCIC20 13.88""W Ice Cream Maker",Waring,WCIC20,WCIC20,755.00,,
"Taylor Company C717 25.44""W Soft Serve Freezer",Taylor Company,C717,C717,,,
"Taylor Company C707 18.25""W Soft Serve Freezer",Taylor Company,C707,C707,,,
"Pasmo S930FA2 13"" W Stainless Steel Countertop Gravity Fed Air Cooled Soft Serve Machine - 220 Volts",,S930FA2,S930FA2,11789.66,,
"Taylor Company C161 22.13""W Soft Serve Freezer",Taylor Company,C161,C161,,,
"Taylor Company C706 18.25""W Soft Serve Freezer",Taylor Company,C706,C706,,,
Spaceman 6236A-C 1 Flavor Countertop Pump Feed Model Soft-Serve Machine - 208-230 Volts,Spaceman,6236A-C,6236A-C,12147.00,,
"Taylor Company 791 20.44""W Soft Serve Freezer",Taylor Company,791,791,,,
"Pasmo S970FAP2 20.5"" W Stainless Steel Air Pump Soft Serve Machine - 3200 Watts",,S970FAP2,S970FAP2,19632.11,,
"Taylor Company 8756P 26.25""W Soft Serve Freezer",Taylor Company,8756P,8756P,,,
Pasmo S111A2 5 - 9 Qt. Countertop Soft Serve Machine - 220 Volts,,S111A2,S111A2,11708.81,,
"Taylor Company 104 16.44""W Batch Ice Cream Freezer",Taylor Company,104,104,,,
"Alfa International QKRM-1 24.4""W QuickREAM Commercial Ice Cream Machine",Alfa International,QKRM-1,QKRM-1,2832.36,,
Spaceman 6210-C 1 Flavor Compact Countertop Gravity Fed Soft-Serve Machine - 110-115 Volts,Spaceman,6210-C,6210-C,5857.00,,
"Taylor Company C712 25.44""W Soft Serve Freezer",Taylor Company,C712,C712,,,
"Taylor Company 701T 16.44""W Soft Serve Freezer",Taylor Company,701T,701T,,,
"Taylor Company 8752P 20.56""W Soft Serve Freezer",Taylor Company,8752P,8752P,,,
